id,sensorType,sensorValue,created
431,ADC0,611,2023-01-19 15:53:00
430,AirQualityScore,285,2023-01-19 15:52:54
429,AirQualityPercent,43,2023-01-19 15:52:54
428,eCO2,7642,2023-01-19 15:52:54
427,Humidity,17,2023-01-19 15:52:54
426,Pressure,100069,2023-01-19 15:52:54
425,Temperature,28.27,2023-01-19 15:52:54
424,AirQualityScore,155,2023-01-19 15:48:34
423,AirQualityPercent,69,2023-01-19 15:48:34
422,eCO2,1605,2023-01-19 15:48:34
421,Humidity,16,2023-01-19 15:48:34
420,Pressure,100065,2023-01-19 15:48:34
419,Temperature,28.47,2023-01-19 15:48:34
418,AirQualityScore,135,2023-01-19 15:44:31
417,AirQualityPercent,73,2023-01-19 15:44:31
416,eCO2,1263,2023-01-19 15:44:31
415,Humidity,16,2023-01-19 15:44:31
414,Pressure,100061,2023-01-19 15:44:31
413,Temperature,28.26,2023-01-19 15:44:31
412,AirQualityScore,150,2023-01-19 15:24:27
411,AirQualityPercent,70,2023-01-19 15:24:27
410,eCO2,1512,2023-01-19 15:24:27
409,Humidity,17,2023-01-19 15:24:27
408,Pressure,100021,2023-01-19 15:24:27
407,Temperature,27.9,2023-01-19 15:24:27
406,AirQualityScore,210,2023-01-19 15:04:51
405,AirQualityPercent,58,2023-01-19 15:04:51
404,eCO2,3107,2023-01-19 15:04:51
403,Humidity,17,2023-01-19 15:04:51
402,Pressure,99994,2023-01-19 15:04:51
401,Temperature,29.02,2023-01-19 15:04:51
